Season,Giornata,Team,Player,V,G,A,R,RS,AG,AM,ES,FV,Role
2016,1,atalanta,Sportiello M.,5.0,-4.0,,,,,,,1.0,P
2016,1,atalanta,Toloi R.,5.0,,,,,,,,5.0,D
2016,1,atalanta,Drame B.,6.0,,,,,,,,6.0,D
2016,1,atalanta,Conti A.,5.0,,1.0,,,,1.0,,5.5,D
2016,1,atalanta,Zukanovic E.,5.0,,,,,,,,5.0,D
2016,1,atalanta,Raimondi C.,5.5,,,,,,1.0,,5.0,D
2016,1,atalanta,Kessie F.,7.0,2.0,,,,,,,13.0,C
2016,1,atalanta,Kurtic J.,5.5,,,,,,,,5.5,C
2016,1,atalanta,Gomez A.,6.0,,,,,,,,6.0,T
2016,1,atalanta,Spinazzola L.,5.0,,,,,,,,5.0,T
2016,1,atalanta,Paloschi A.,6.0,,,,,,,,6.0,A
2016,1,atalanta,Gagliardini R.,,,,,,,,,,C
2016,1,atalanta,Dalessandro M.,7.0,,,,,,,,7.0,T
2016,1,atalanta,Petagna A.,6.0,1.0,,,,,,,9.0,A
2016,1,bologna,Mirante A.,6.0,,,,,,,,6.0,P
2016,1,bologna,Gastaldello D.,6.0,,,,,,,,6.0,D
2016,1,bologna,Maietta D.,6.0,,,,,,,,6.0,D
2016,1,bologna,Masina A.,6.0,,,,,,,,6.0,D
2016,1,bologna,Krafth E.,6.0,,,,,,,,6.0,D
2016,1,bologna,Nagy A.,7.0,,,,,,,,7.0,C
2016,1,bologna,Pulgar E.,6.0,,,,,,1.0,,5.5,C
2016,1,bologna,Taider S.,6.5,,,,,,,,6.5,C
2016,1,bologna,Krejci L.,6.5,,,,,,,,6.5,T
2016,1,bologna,Verdi S.,6.5,,,,,,,,6.5,T
2016,1,bologna,Destro M.,6.5,1.0,,,,,,,9.5,A
2016,1,bologna,Oikonomou M.,6.0,,,,,,,,6.0,D
2016,1,bologna,Dzemaili B.,6.5,,,,,,,,6.5,C
2016,1,bologna,Rizzo L.,6.0,,,,,,,,6.0,T
2016,1,cagliari,Storari M.,5.5,-3.0,,,,,,,2.5,P
2016,1,cagliari,Isla M.,5.5,,,,,,,,5.5,D
2016,1,cagliari,Capuano M.,5.5,,,,,,,,5.5,D
2016,1,cagliari,Murru N.,5.0,,,,,,,,5.0,D
2016,1,cagliari,Alves B.,6.0,,,,,,,,6.0,D
2016,1,cagliari,Ceppitelli L.,6.0,,,,,,,,6.0,D
2016,1,cagliari,Padoin S.,6.0,,,,,,,,6.0,C
2016,1,cagliari,Di Gennaro D.,7.0,,,,,,,,7.0,C
2016,1,cagliari,Ionita A.,6.0,,,,,,1.0,,5.5,C
2016,1,cagliari,Borriello M.,7.0,1.0,,,,,1.0,,9.5,A
2016,1,cagliari,Sau M.,6.0,,1.0,,,,,,7.0,A
2016,1,cagliari,Munari G.,5.5,,,,,,1.0,,5.0,C
2016,1,cagliari,Pajac M.,,,,,,,,,,C
2016,1,cagliari,Giannetti N.,5.5,,,,,,,,5.5,T
2016,1,chievo,Sorrentino S.,6.5,,,,,,,,6.5,P
2016,1,chievo,Gobbi M.,6.5,,,,,,,,6.5,D
2016,1,chievo,Dainelli D.,7.0,,,,,,,,7.0,D
2016,1,chievo,Cesar B.,7.0,,,,,,,,7.0,D
2016,1,chievo,Cacciatore F.,7.0,,,,,,,,7.0,D
2016,1,chievo,Hetemaj P.,7.0,,,,,,,,7.0,C
2016,1,chievo,Radovanovic I.,6.5,,,,,,1.0,,6.0,C
2016,1,chievo,Castro L.,6.5,,,,,,,,6.5,C
2016,1,chievo,Birsa V.,8.0,2.0,,,,,,,14.0,T
2016,1,chievo,Meggiorini R.,6.5,,,,,,1.0,,6.0,A
2016,1,chievo,Inglese R.,7.0,,,,,,,,7.0,A
2016,1,chievo,Rigoni N.,6.0,,,,,,,,6.0,C
2016,1,chievo,Parigini V.,,,,,,,,,,T
2016,1,chievo,Pellissier S.,6.0,,,,,,,,6.0,A
2016,1,crotone,Cordaz A.,7.0,-1.0,,,,,,,6.0,P
2016,1,crotone,Martella B.,6.0,,,,,,,,6.0,D
2016,1,crotone,Ceccherini F.,5.5,,,,,,,,5.5,D
2016,1,crotone,Ferrari G.,5.5,,,,,,,,5.5,D
2016,1,crotone,Dos Santos C.,5.5,,,,,,,,5.5,D
2016,1,crotone,Sampirisi M.,6.0,,,,,,,,6.0,D
2016,1,crotone,Rohden M.,5.5,,,,,,1.0,,5.0,C
2016,1,crotone,Salzano A.,6.0,,,,,,,,6.0,C
2016,1,crotone,Palladino R.,5.0,,,,,,,,5.0,T
2016,1,crotone,Stoian A.,5.0,,,,,,,,5.0,T
2016,1,crotone,Simy ,5.5,,,,,,,,5.5,A
2016,1,crotone,Fazzi N.,,,,,,,,,,C
2016,1,crotone,De Giorgio P.,,,,,,,,,,T
2016,1,empoli,Pelagotti A.,6.0,-1.0,,,,,,,5.0,P
2016,1,empoli,Costa A.,6.0,,,,,,,,6.0,D
2016,1,empoli,Laurini V.,5.5,,,,,,,,5.5,D
2016,1,empoli,Pasqual M.,6.0,,,,,,,,6.0,D
2016,1,empoli,Cosic U.,5.0,,,,,,,,5.0,D
2016,1,empoli,Buchel M.,5.5,,,,,,1.0,,5.0,C
2016,1,empoli,Tello A.,5.0,,,,,,,,5.0,C
2016,1,empoli,Maiello R.,5.0,,,,,,,,5.0,C
2016,1,empoli,Saponara R.,6.0,,,,,,1.0,,5.5,T
2016,1,empoli,Maccarone M.,6.0,,,,,,,1.0,5.0,A
