Season,Giornata,Team,Player,A,AG,AM,ES,FV,G,In,Out,R,RS,Role,V
2014,1,atalanta,Sportiello M.,,,,,7.0,,0.0,0.0,,,P,7.0
2014,1,atalanta,Benalouane Y.,,,,,6.0,,0.0,0.0,,,D,6.0
2014,1,atalanta,Biava G.,,,,,6.0,,0.0,0.0,,,D,6.0
2014,1,atalanta,Drame' B.,,,1.0,,5.0,,0.0,0.0,,,D,5.5
2014,1,atalanta,Zappacosta D.,,,,,6.0,,0.0,0.0,,,D,6.0
2014,1,atalanta,Carmona C.,,,,,6.0,,0.0,0.0,,,C,6.0
2014,1,atalanta,Cigarini L.,,,,,6.0,,0.0,0.0,,,C,6.0
2014,1,atalanta,Moralez M.,,,,,5.5,,1.0,0.0,,,C,5.5
2014,1,atalanta,Estigarribia M.,,,,,6.5,,1.0,0.0,,,C,6.5
2014,1,atalanta,Denis G.,,,,,5.5,,1.0,0.0,,,A,5.5
2014,1,atalanta,Spinazzola L.,,,,,,,0.0,1.0,,,C,
2014,1,atalanta,Boakye R.,,,1.0,,4.5,,0.0,1.0,,,A,5.0
2014,1,atalanta,Bianchi R.,,,,,6.0,,0.0,1.0,,,A,6.0
2014,1,cagliari,Colombi S.,,,,,5.5,-1.0,0.0,0.0,,,P,6.5
2014,1,cagliari,Pisano F.,,,,,5.0,,1.0,0.0,,,D,5.0
2014,1,cagliari,Avelar D.,,,,,6.5,,1.0,0.0,,,D,6.5
2014,1,cagliari,Ceppitelli L.,,,,,6.0,,0.0,0.0,,,D,6.0
2014,1,cagliari,Rossettini L.,,,,,6.0,,0.0,0.0,,,D,6.0
2014,1,cagliari,Crisetig L.,,,,,6.5,,0.0,0.0,,,C,6.5
2014,1,cagliari,Conti D.,,,1.0,,6.5,,0.0,0.0,,,C,7.0
2014,1,cagliari,Cossu A.,,,,,5.5,,0.0,0.0,,,C,5.5
2014,1,cagliari,Ekdal A.,,,,,6.0,,0.0,0.0,,,C,6.0
2014,1,cagliari,Farias D.,,,,,5.5,,0.0,0.0,,,A,5.5
2014,1,cagliari,Sau M.,,,,,9.5,1.0,1.0,0.0,,,A,6.5
2014,1,cagliari,Balzano A.,1.0,,1.0,,7.0,,0.0,1.0,,,D,6.5
2014,1,cagliari,Murru N.,,,,,,,0.0,1.0,,,D,
2014,1,cagliari,Longo S.,,,,,6.0,,0.0,1.0,,,A,6.0
2014,1,cesena,Leali N.,,,,,6.5,,0.0,0.0,,,P,6.5
2014,1,cesena,Renzetti F.,,,,,6.5,,0.0,0.0,,,D,6.5
2014,1,cesena,Capelli D.,,,,,6.0,,1.0,0.0,,,D,6.0
2014,1,cesena,Lucchini S.,,,1.0,,6.0,,0.0,0.0,,,D,6.5
2014,1,cesena,Volta M.,,,,,6.5,,0.0,0.0,,,D,6.5
2014,1,cesena,Coppola M.,,,,,6.0,,0.0,0.0,,,C,6.0
2014,1,cesena,Brienza F.,1.0,,,,8.0,,1.0,0.0,,,C,7.0
2014,1,cesena,Cascione E.,,,,,7.0,,0.0,0.0,,,C,7.0
2014,1,cesena,De Feudis G.,,,,,6.0,,0.0,0.0,,,C,6.0
2014,1,cesena,Rodriguez A.,,,1.0,,9.5,1.0,1.0,0.0,,,A,7.0
2014,1,cesena,Marilungo G.,,,,,6.5,,0.0,0.0,,,A,6.5
2014,1,cesena,Krajnc L.,,,,,,,0.0,1.0,,,D,
2014,1,cesena,Perico G.,,,,,,,0.0,1.0,,,D,
2014,1,cesena,Garritano L.,,,,,6.0,,0.0,1.0,,,A,6.0
2014,1,chievo,Bardi F.,,,,,4.0,-1.0,0.0,0.0,,,P,5.0
2014,1,chievo,Dainelli D.,,,1.0,,5.0,,0.0,0.0,,,D,5.5
2014,1,chievo,Biraghi C.,,1.0,,,3.0,,0.0,0.0,,,D,5.0
2014,1,chievo,Cesar B.,,,,,5.5,,0.0,0.0,,,D,5.5
2014,1,chievo,Frey N.,,,,,5.5,,0.0,0.0,,,D,5.5
2014,1,chievo,Mangani T.,,,1.0,,4.5,,1.0,0.0,,,C,5.0
2014,1,chievo,Hetemaj P.,,,,,6.0,,0.0,0.0,,,C,6.0
2014,1,chievo,Schelotto E.,,,,,5.0,,1.0,0.0,,,C,5.0
2014,1,chievo,Izco M.,,,,,5.0,,0.0,0.0,,,C,5.0
2014,1,chievo,Birsa V.,,,,,5.5,,0.0,0.0,,,C,5.5
2014,1,chievo,Maxi Lopez ,,,,,5.5,,0.0,0.0,,,A,5.5
2014,1,chievo,Radovanovic I.,,,,,5.5,,0.0,1.0,,,C,5.5
2014,1,chievo,Cofie I.,,,,,6.0,,0.0,1.0,,,C,6.0
2014,1,chievo,Paloschi A.,,,,,5.5,,0.0,1.0,,,A,5.5
2014,1,empoli,Sepe L.,,,,,4.0,-2.0,0.0,0.0,,,P,6.0
2014,1,empoli,Hysaj E.,,,,,6.0,,1.0,0.0,,,D,6.0
2014,1,empoli,Laurini V.,,,,,4.5,,0.0,0.0,,,D,4.5
2014,1,empoli,Tonelli L.,,,,,5.0,,0.0,0.0,,,D,5.0
2014,1,empoli,Rugani D.,,,,,6.0,,0.0,0.0,,,D,6.0
2014,1,empoli,Croce D.,,,1.0,,6.0,,0.0,0.0,,,C,6.5
2014,1,empoli,Verdi S.,,,1.0,,5.0,,0.0,0.0,,,C,5.5
2014,1,empoli,Vecino M.,,,,,6.0,,1.0,0.0,,,C,6.0
2014,1,empoli,Valdifiori M.,,,,,5.5,,0.0,0.0,,,C,5.5
2014,1,empoli,Mchedlidze L.,,,,,5.5,,1.0,0.0,,,A,5.5
2014,1,empoli,Tavano F.,,,,,5.0,,0.0,0.0,,,A,5.0
2014,1,empoli,Mario Rui ,,,,,6.0,,0.0,1.0,,,D,6.0
2014,1,empoli,Signorelli F.,,,,,6.0,,0.0,1.0,,,C,6.0
2014,1,empoli,Pucciarelli M.,,,,,,,0.0,1.0,,,C,
2014,1,fiorentina,Neto N.,,,,,4.5,-2.0,0.0,0.0,,,P,6.5
2014,1,fiorentina,Alonso M.,,,1.0,,5.0,,0.0,0.0,,,D,5.5
2014,1,fiorentina,Rodriguez G.,,,1.0,,5.0,,0.0,0.0,,,D,5.5
2014,1,fiorentina,Savic S.,,,1.0,,5.0,,0.0,0.0,,,D,5.5
2014,1,fiorentina,Tomovic N.,,,,,6.0,,0.0,0.0,,,D,6.0
2014,1,fiorentina,Borja Valero ,,,,,6.0,,0.0,0.0,,,C,6.0
2014,1,fiorentina,Vargas J.,,,,,5.0,,1.0,0.0,,,C,5.0
2014,1,fiorentina,Pizarro D.,,,,,5.5,,0.0,0.0,,,C,5.5
2014,1,fiorentina,Brillante J.,,,,,4.5,,1.0,0.0,,,C,4.5
2014,1,fiorentina,Babacar K.,,,,,5.0,,1.0,0.0,,,A,5.0
