Id,R,Nome,Squadra,Qt. A,Qt. I,Diff.
2610,Pc,RONALDO,Juventus,48,48,0
785,Pc,IMMOBILE,Lazio,44,49,-5
2531,Pc,LUKAKU,Inter,43,42,1
608,Pc,ZAPATA D.,Atalanta,39,40,-1
2819,Pc,CAPUTO,Sassuolo,37,34,3
2530,Pc,IBRAHIMOVIC,Milan,36,35,1
26,T;A,GOMEZ,Atalanta,32,29,3
2764,Pc,MARTINEZ L.,Inter,32,30,2
441,Pc,BELOTTI,Torino,32,29,3
647,Pc,DZEKO,Roma,31,31,0
531,A,BERARDI,Sassuolo,30,27,3
309,A,DYBALA,Juventus,29,31,-2
410,Pc,MERTENS,Napoli,28,25,3
507,Pc,MURIEL,Atalanta,27,26,1
2833,T;A,KULUSEVSKI,Juventus,26,26,0
1874,A,JOAO PEDRO,Cagliari,26,25,1
2002,W;A,CHIESA,Juventus,25,25,0
4661,Pc,OSIMHEN,Napoli,25,24,1
2160,E,GOSENS,Atalanta,25,24,1
186,A,REBIC,Milan,25,27,-2
2529,T;A,MKHITARYAN,Roma,24,24,0
2085,T,LUIS ALBERTO,Lazio,24,25,-1
2194,T,CALHANOGLU,Milan,24,24,0
313,Pc,MORATA,Juventus,24,24,0
177,A,ILICIC,Atalanta,24,27,-3
2475,A,SANCHEZ,Inter,24,24,0
568,Pc,QUAGLIARELLA,Sampdoria,23,20,3
4160,Dd;Ds;E,HAKIMI,Inter,23,22,1
409,A,INSIGNE,Napoli,23,23,0
2012,Pc,MILIK,Napoli,22,24,-2
4292,Ds;E,HERNANDEZ T.,Milan,22,21,1
2719,A,BARROW,Bologna,22,23,-1
495,A,CORREA,Lazio,21,23,-2
2489,W;A,PEDRO,Roma,20,18,2
1996,T,DE PAUL,Udinese,20,20,0
2061,Pc,SIMEONE,Cagliari,20,19,1
467,C;T,NAINGGOLAN,Inter,20,22,-2
645,C;T,MILINKOVIC-SAVIC,Lazio,20,19,1
2832,A,BOGA,Sassuolo,20,22,-2
2414,C,VIDAL,Inter,19,19,0
2409,A,RIBERY,Fiorentina,19,18,1
2167,W;A,ORSOLINI,Bologna,18,18,0
2841,Pc,VLAHOVIC,Fiorentina,18,18,0
250,Por,HANDANOVIC,Inter,17,18,-1
453,Por,SZCZESNY,Juventus,17,17,0
350,Por,DONNARUMMA G.,Milan,17,16,1
2625,C;T,SORIANO,Bologna,17,14,3
4377,C;T,CASTROVILLI,Fiorentina,17,15,2
2215,C,VERETOUT,Roma,17,14,3
2287,W;T,RAMIREZ,Sampdoria,16,17,-1
5001,T;A,MIRANCHUK,Atalanta,16,18,-2
4427,T,MALINOVSKYI,Atalanta,16,15,1
367,C;W;T,BONAVENTURA,Fiorentina,16,16,0
2077,C;T,PASALIC,Atalanta,16,16,0
2762,A,KOUAME',Fiorentina,16,17,-1
4510,A,RAFAEL LEAO,Milan,16,14,2
4825,W;T,DIAZ B.,Milan,15,14,1
536,W;A,POLITANO,Napoli,15,13,2
2766,T,ZANIOLO,Roma,15,17,-2
1939,Pc,LAPADULA,Benevento,15,14,1
2284,Pc,CAICEDO,Lazio,15,15,0
827,M;C,LOCATELLI,Sassuolo,15,14,1
581,Dd;E,FARAONI,Verona,15,15,0
513,Dc,ACERBI,Lazio,15,15,0
392,Dc,KOULIBALY,Napoli,15,14,1
530,C;T,PELLEGRINI LO.,Roma,15,15,0
4285,C,ARTHUR,Juventus,15,15,0
4517,A,LOZANO,Napoli,15,11,4
376,W;T;A,VERDI,Torino,14,15,-1
2556,T,ERIKSEN,Inter,14,16,-2
1995,T,DJURICIC,Sassuolo,14,13,1
1997,Pc,SIMY,Crotone,14,13,1
407,Pc,GABBIADINI,Sampdoria,14,16,-2
90,Pc,LASAGNA,Udinese,14,17,-3
1870,M;C,BARELLA,Inter,14,14,0
236,E;W,LAZOVIC,Verona,14,15,-1
2759,Ds;Dc;E,CRISCITO,Genoa,14,15,-1
2214,Ds;Dc;E,KOLAROV,Inter,14,16,-2
2130,Dd;E,HATEBOER,Atalanta,14,12,2
2164,Dd;Dc,MILENKOVIC,Fiorentina,14,14,0
322,Dc,DE VRIJ,Inter,14,15,-1
4428,Dc,DE LIGT,Juventus,14,15,-1
459,Dc,MANOLAS,Napoli,14,13,1
2775,C;T,RUIZ,Napoli,14,14,0
1958,A,CAPRARI,Benevento,14,11,3
1934,Por,STRAKOSHA,Lazio,13,15,-2
2211,Por,SILVESTRI,Verona,13,11,2
247,Pc,PAVOLETTI,Cagliari,13,15,-2
2163,Pc,CORNELIUS,Parma,13,14,-1
505,Pc,BONAZZOLI,Torino,13,13,0
4324,Pc,OKAKA,Udinese,13,14,-1
5292,Pc,LAMMERS,Atalanta,13,11,2
652,Pc,KALINIC,Verona,13,13,0
644,M;C,PULGAR,Fiorentina,13,14,-1
1850,M;C,KESSIE',Milan,13,11,2
2263,E,LAZZARI,Lazio,13,13,0
697,Dd;E,CUADRADO,Juventus,13,13,0
2816,Dd;E,DI LORENZO,Napoli,13,12,1
286,Dc,BONUCCI,Juventus,13,13,0
152,C;T,ZIELINSKI,Napoli,13,12,1
474,A,GERVINHO,Parma,13,14,-1
704,W;A,PERISIC,Inter,12,13,-1
2692,W,CASTILLEJO,Milan,12,13,-1
406,W,CALLEJON,Fiorentina,12,12,0
123,Pc,INGLESE,Parma,12,14,-2
22,M;C,DE ROON,Atalanta,12,10,2
2707,Dd;Ds;E,YOUNG,Inter,12,13,-1
1852,Dd;Ds;E,SPINAZZOLA,Roma,12,11,1
460,Dc,ROMAGNOLI,Milan,12,13,-1
2172,C;T,BARAK,Verona,12,12,0
632,C;T,ZACCAGNI,Verona,12,12,0
265,C,BROZOVIC,Inter,12,12,0
2166,C,BENTANCUR,Juventus,12,12,0
643,A,DEFREL,Sassuolo,12,11,1
475,A,IAGO FALQUE,Benevento,12,14,-2
345,A,KEITA B.,Sampdoria,12,13,-1
302,W;T,PEREYRA,Udinese,11,11,0
2119,W;A,DEULOFEU,Udinese,11,11,0
2472,T,RAMSEY,Juventus,11,10,1
610,Por,GOLLINI,Atalanta,11,13,-2
1917,Por,DRAGOWSKI,Fiorentina,11,12,-1
4419,Por,PAU LOPEZ,Roma,11,13,-2
383,Pc,PETAGNA,Napoli,11,12,-1
315,Pc,ZAZA,Torino,11,12,-1
5012,Pc,MURIQI,Lazio,11,12,-1
4514,M;C,NANDEZ,Cagliari,11,11,0
662,Ds;E,ALEX SANDRO,Juventus,11,12,-1
