Id,R,Nome,Squadra,Qt. A,Qt. I,Diff.
2610,Pc,RONALDO,Juventus,49,48,1
785,Pc,IMMOBILE,Lazio,45,49,-4
2531,Pc,LUKAKU,Inter,42,42,0
608,Pc,ZAPATA D.,Atalanta,40,40,0
2819,Pc,CAPUTO,Sassuolo,36,34,2
2530,Pc,IBRAHIMOVIC,Milan,35,35,0
26,T;A,GOMEZ,Atalanta,33,29,4
2764,Pc,MARTINEZ L.,Inter,32,30,2
441,Pc,BELOTTI,Torino,30,29,1
309,A,DYBALA,Juventus,30,31,-1
647,Pc,DZEKO,Roma,29,31,-2
531,A,BERARDI,Sassuolo,29,27,2
507,Pc,MURIEL,Atalanta,27,26,1
410,Pc,MERTENS,Napoli,27,25,2
2002,W;A,CHIESA,Juventus,26,25,1
2833,T;A,KULUSEVSKI,Juventus,26,26,0
2160,E,GOSENS,Atalanta,26,24,2
1874,A,JOAO PEDRO,Cagliari,26,25,1
186,A,REBIC,Milan,26,27,-1
177,A,ILICIC,Atalanta,25,27,-2
2085,T,LUIS ALBERTO,Lazio,24,25,-1
2194,T,CALHANOGLU,Milan,24,24,0
4661,Pc,OSIMHEN,Napoli,24,24,0
2475,A,SANCHEZ,Inter,24,24,0
409,A,INSIGNE,Napoli,24,23,1
2529,T;A,MKHITARYAN,Roma,23,24,-1
2012,Pc,MILIK,Napoli,23,24,-1
313,Pc,MORATA,Juventus,23,24,-1
4160,Dd;Ds;E,HAKIMI,Inter,23,22,1
568,Pc,QUAGLIARELLA,Sampdoria,22,20,2
4292,Ds;E,HERNANDEZ T.,Milan,22,21,1
2719,A,BARROW,Bologna,22,23,-1
467,C;T,NAINGGOLAN,Inter,21,22,-1
495,A,CORREA,Lazio,21,23,-2
1996,T,DE PAUL,Udinese,20,20,0
645,C;T,MILINKOVIC-SAVIC,Lazio,20,19,1
2832,A,BOGA,Sassuolo,20,22,-2
2489,W;A,PEDRO,Roma,19,18,1
2414,C,VIDAL,Inter,19,19,0
2061,Pc,SIMEONE,Cagliari,18,19,-1
2841,Pc,VLAHOVIC,Fiorentina,18,18,0
2409,A,RIBERY,Fiorentina,18,18,0
2167,W;A,ORSOLINI,Bologna,17,18,-1
